UID         PID   PPID  C STIME TTY          TIME CMD
root       2456      1  0 16:20 ?        00:00:00 /usr/lib/udisks2/udisksd --no-debug
neozeus    2470   2002  0 16:20 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
neozeus    2476   2002  0 16:20 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
neozeus    2481   2002  0 16:20 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
neozeus    2488   2163  0 16:20 ?        00:00:00 telepathy-indicator
neozeus    2500   2163  0 16:20 ?        00:00:00 zeitgeist-datahub
neozeus    2523   2002  0 16:20 ?        00:00:00 /usr/bin/zeitgeist-daemon
neozeus    2532   2002  0 16:20 ?        00:00:00 /usr/lib/x86_64-linux-gnu/zeitgeist-fts
neozeus    2541   2002  0 16:20 ?        00:00:00 /usr/lib/telepathy/mission-control-5
neozeus    2544   2532  0 16:20 ?        00:00:00 /bin/cat
neozeus    2554   2163  0 16:21 ?        00:00:00 update-notifier
neozeus    2584   2002  0 16:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.8 /org/gtk/gvfs/exec_spaw/0
neozeus    2595   2002  0 16:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.8 /org/gtk/gvfs/exec_spaw/1
neozeus    2622   2163  0 16:22 ?        00:00:00 /usr/lib/x86_64-linux-gnu/deja-dup/deja-dup-monitor
neozeus    2664   2002  0 16:22 ?        00:00:06 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
neozeus    2691   2002  0 16:23 ?        00:00:02 gnome-terminal
neozeus    2701   2691  0 16:23 ?        00:00:00 gnome-pty-helper
neozeus    2702   2691  0 16:23 pts/0    00:00:00 bash
root       2724    954  0 16:23 ?        00:00:00 sshd: neozeus [priv]
neozeus    2768   2724  0 16:23 ?        00:00:12 sshd: neozeus@pts/9 
neozeus    2769   2768  0 16:23 pts/9    00:00:00 -bash
root       2787    954  0 16:24 ?        00:00:00 sshd: neozeus [priv]
neozeus    2823   2787  0 16:24 ?        00:00:00 sshd: neozeus@pts/18
neozeus    2824   2823  0 16:24 pts/18   00:00:00 -bash
root       2901      2  0 16:33 ?        00:00:01 [kworker/u256:0]
root       3637      1  0 16:41 ?        00:00:00 /usr/sbin/cupsd -f
lp         3641   3637  0 16:41 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus:// 
root       4571      2  0 18:41 ?        00:00:00 [kworker/u256:1]
neozeus    4572   2824  0 18:43 pts/18   00:00:00 vi phone.txt
root       5020      1  0 19:25 ?        00:00:00 /usr/sbin/vsftpd
root       5028      2  0 19:25 ?        00:00:00 [kworker/u256:2]
neozeus    5031   2769  0 19:25 pts/9    00:00:00 vi awk_test
neozeus    5049   2002  1 19:27 ?        00:00:01 /usr/bin/python3 /usr/share/oneconf/oneconf-service
neozeus    5084   5031  0 19:29 pts/9    00:00:00 /bin/bash -c  clear; ./awk_test
neozeus    5086   5084  0 19:29 pts/9    00:00:00 /bin/bash ./awk_test
neozeus    5087   5086  0 19:29 pts/9    00:00:00 ps -ef
